airport_ident,length_ft,width_ft,surface,closed,le_ident,le_heading_degT,le_latitude_deg,le_longitude_deg,he_ident,he_heading_degT,he_latitude_deg,he_longitude_deg
08OL,1029,40,Turf,0,18,,,,36,,,
08OR,2800,20,GRVL,0,18,,,,36,,,
08PA,200,150,TURF,0,H1,,,,,,,
08PN,50,50,ASPH,0,H1,,,,,,,
08R,2129,30,ASPH-P,0,11,,41.4899,-71.6245,29,,41.4891,-71.6168
08SD,42,42,CON,0,H1,,,,,,,
08TA,200,100,TURF,0,H1,,,,,,,
08TT,2015,75,CON,0,4,,,,22,,,
08TX,2100,30,TURF,0,09,,,,27,,,
08TX,1800,100,TURF,0,18,,,,36,,,
08U,3600,50,DIRT-F,0,01,,,,19,,,
08UT,5200,50,Dirt,0,10,,38.33935,-109.14238,28,,38.33069,-109.12797
