iata,icao,name,lat,lon
ATN,AYNX,Namatanai Airport,-3.6695,152.4380
NBA,AYNY,Nambaiyufa Airport,-6.2412,145.2424
LAE,AYNZ,Nadzab Tomodachi International Airport,-6.5680,146.7265
OBX,AYOB,Obo Airport,-7.5906,141.3243
KGB,AYOE,Konge Airport,-6.2239,147.2152
OKV,AYOF,Okao Airport,-5.5567,141.0328
OGE,AYOG,Ogeranang Airport,-6.4668,147.3642
OKP,AYOJ,Oksapmin Airport,-5.2261,142.2259
HOC,AYOK,Komako Airport,-7.3984,145.8827
KQL,AYOL,Kol Airport,-5.7312,144.8460
OSE,AYOM,Omora Airport,-7.8278,147.0806
KOM,AYOO,Komo-Manda Airport,-6.0682,142.8598
KSP,AYOP,Kosipe Airport,-8.4507,147.2092
KCJ,AYOQ,Komaio Airport,-7.2714,143.5952
OLQ,AYOV,Olsobip Airport,-5.3897,141.5153
KDE,AYOW,Koroba Airport,-5.6952,142.7441
OPB,AYOY,Open Bay Airport,-4.7947,151.6962
PLE,AYPB,Paiela Airport,-5.3724,142.9758
PGB,AYPC,Pangoa Airport,-7.0226,141.5605
PDI,AYPD,Pindiu Airport,-6.4451,147.5158
APR,AYPE,April River Airport,-4.6767,142.5401
PGN,AYPG,Pangia Airport,-6.3860,144.1084
PMP,AYPJ,Pimaga Airport,-6.4992,143.5103
MPF,AYPO,Mapoda Airport,-7.9790,143.1694
PMN,AYPQ,Pumani Airport,-9.7469,149.4766
WLU,AYPU,Walluanda Airport,-6.4752,143.9872
POM,AYPY,Port Moresby Jacksons International Airport,-9.4434,147.2200
KRJ,AYQA,Karawari Airstrip,-4.5967,143.5225
TLP,AYQL,Tumolbil Airport,-4.7748,141.0133
SPH,AYQO,Sopu Airport,-8.3038,147.1659
ONB,AYQQ,Ononge Airport,-8.6744,147.2624
SXA,AYQS,Sialum Airport,-6.0908,147.5955
KIQ,AYRA,Kira Airport,-8.0651,147.3320
RBP,AYRE,Raba Raba Airport,-9.9711,149.8322
RMN,AYRG,Rumginae Airport,-5.8972,141.2717
KMR,AYRI,Karimui Airport,-6.4921,144.8230
RKU,AYRK,Kairuku Airport,-8.8170,146.5244
MWI,AYRM,Maramuni Airport,-5.1300,143.4829
KOR,AYRO,Kakoro(Koroko) Airstrip,-7.8347,146.5335
MRH,AYRV,May River Airstrip,-4.3615,141.7850
SBE,AYSA,Suabi Airport,-6.1044,142.2783
SDI,AYSD,Saidor Airport,-5.6271,146.4628
NIS,AYSE,Simberi Airport,-2.6622,151.9978
SFU,AYSF,Safia Airport,-9.5945,148.6393
SIL,AYSG,Sila Airport,-9.0736,148.3893
SBV,AYSH,Sabah Airport,-5.5765,155.0489
SIM,AYSJ,Simbai Airport,-5.2786,144.5447
