ident,icao_code,iata_code
CYIV,CYIV,YIV
CYJA,CYJA,YJA
CYJF,CYJF,YJF
CYJN,CYJN,YJN
CYJT,CYJT,YJT
CYKA,CYKA,YKA
CYKC,CYKC,YKC
CYKD,CYKD,LAK
CYKF,CYKF,YKF
CYKG,CYKG,YWB
CYKJ,CYKJ,YKJ
CYKL,CYKL,YKL
CYKM,CYKM,YKD
CYKO,CYKO,AKV
CYKP,CYKP,YOG
CYKQ,CYKQ,YKQ
CYKX,CYKX,YKX
CYKY,CYKY,YKY
CYLA,CYLA,YPJ
CYLB,CYLB,YLB
CYLC,CYLC,YLC
CYLD,CYLD,YLD
CYLH,CYLH,YLH
CYLJ,CYLJ,YLJ
CYLK,CYLK,YSG
CYLL,CYLL,YLL
CYLQ,CYLQ,YLQ
CYLR,CYLR,YLR
CYLS,CYLS,YLK
CYLT,CYLT,YLT
CYLU,CYLU,XGR
CYLW,CYLW,YLW
CYM,,CYM
CYMA,CYMA,YMA
CYME,CYME,YME
CYMG,CYMG,YMG
CYMH,CYMH,YMH
CYMJ,CYMJ,YMJ
CYML,CYML,YML
CYMM,CYMM,YMM
CYMO,CYMO,YMO
CYMT,CYMT,YMT
CYMU,CYMU,YUD
CYMW,CYMW,YMW
CYMX,CYMX,YMX
CYNA,CYNA,YNA
CYNC,CYNC,YNC
CYND,CYND,YND
CYNE,CYNE,YNE
CYNH,CYNH,YNH
CYNJ,CYNJ,YLY
CYNL,CYNL,YNL
CYNM,CYNM,YNM
CYNR,CYNR,HZP
CYOA,CYOA,YOA
CYOC,CYOC,YOC
CYOD,CYOD,YOD
CYOH,CYOH,YOH
CYOJ,CYOJ,YOJ
CYOO,CYOO,YOO
CYOP,CYOP,YOP
CYOS,CYOS,YOS
CYOW,CYOW,YOW
CYPA,CYPA,YPA
CYPC,CYPC,YPC
CYPD,CYPD,YPS
CYPE,CYPE,YPE
CYPG,CYPG,YPG
CYPH,CYPH,YPH
CYPK,CYPK,
CYPL,CYPL,YPL
CYPM,CYPM,YPM
CYPN,CYPN,YPN
CYPO,CYPO,YPO
CYPQ,CYPQ,YPQ
CYPR,CYPR,YPR
CYPW,CYPW,YPW
CYPX,CYPX,YPX
CYPY,CYPY,YPY
CYPZ,CYPZ,YPZ
CYQA,CYQA,YQA
CYQB,CYQB,YQB
CYQD,CYQD,YQD
CYQF,CYQF,YQF
CYQG,CYQG,YQG
CYQH,CYQH,YQH
CYQI,CYQI,YQI
CYQK,CYQK,YQK
CYQL,CYQL,YQL
CYQM,CYQM,YQM
CYQN,CYQN,YQN
CYQQ,CYQQ,YQQ
CYQR,CYQR,YQR
CYQS,CYQS,YQS
CYQT,CYQT,YQT
CYQU,CYQU,YQU
CYQV,CYQV,YQV
CYQW,CYQW,YQW
CYQX,CYQX,YQX
CYQY,CYQY,YQY
CYQZ,CYQZ,YQZ
CYRA,CYRA,YRA
CYRB,CYRB,YRB
CYRI,CYRI,YRI
CYRJ,CYRJ,YRJ
CYRL,CYRL,YRL
CYRM,CYRM,YRM
CYRO,CYRO,YRO
CYRQ,CYRQ,YRQ
CYRS,CYRS,YRS
CYRT,CYRT,YRT
CYRV,CYRV,YRV
CYSB,CYSB,YSB
CYSC,CYSC,YSC
CYSD,CYSD,YSD
CYSE,CYSE,YSE
CYSF,CYSF,YSF
CYSH,CYSH,YSH
CYSJ,CYSJ,YSJ
CYSK,CYSK,YSK
CYSL,CYSL,YSL
CYSM,CYSM,YSM
CYSN,CYSN,YCM
CYSP,CYSP,YSP
CYST,CYST,YST
CYSU,CYSU,YSU
CYSY,CYSY,YSY
CYTA,CYTA,YTA
CYTE,CYTE,YTE
CYTF,CYTF,YTF
CYTH,CYTH,YTH
CYTL,CYTL,YTL
CYTQ,CYTQ,YTQ
CYTR,CYTR,YTR
CYTS,CYTS,YTS
